date,category,description,amount,vendor
2024-01-15,Utilities,Monthly natural gas heating - kitchen and facility,$842.17,Enbridge Gas
2024-02-15,Utilities,Monthly natural gas heating,$798.50,Enbridge Gas
2024-03-15,Utilities,Monthly natural gas heating,$685.30,Enbridge Gas
2024-04-15,Utilities,Monthly natural gas heating,$420.00,Enbridge Gas
2024-05-15,Utilities,Monthly natural gas heating,$310.25,Enbridge Gas
2024-06-15,Utilities,Monthly natural gas heating,$180.00,Enbridge Gas
2024-07-15,Utilities,Monthly natural gas heating,$125.00,Enbridge Gas
2024-08-15,Utilities,Monthly natural gas heating,$130.00,Enbridge Gas
2024-09-15,Utilities,Monthly natural gas heating,$245.00,Enbridge Gas
2024-10-15,Utilities,Monthly natural gas heating,$520.00,Enbridge Gas
2024-11-15,Utilities,Monthly natural gas heating,$710.00,Enbridge Gas
2024-12-15,Utilities,Monthly natural gas heating,$830.00,Enbridge Gas
2024-01-20,Fuel,Fleet diesel fuel - delivery van 1,$385.90,Petro-Canada
2024-02-20,Fuel,Fleet diesel fuel - delivery vans,$412.30,Shell Canada
2024-03-20,Fuel,Fleet fuel - delivery vehicles,$398.15,Petro-Canada
2024-04-20,Fuel,Fleet diesel - catering delivery,$445.00,Shell Canada
2024-05-20,Fuel,Fleet fuel - all vehicles,$510.25,Petro-Canada
2024-06-20,Fuel,Fleet fuel - summer events delivery,$620.00,Shell Canada
2024-07-20,Fuel,Fleet fuel - catering delivery,$580.40,Petro-Canada
2024-08-20,Fuel,Fleet fuel,$495.00,Shell Canada
2024-09-20,Fuel,Fleet diesel,$430.15,Petro-Canada
2024-10-20,Fuel,Fleet fuel - delivery,$388.00,Shell Canada
2024-11-20,Fuel,Fleet diesel fuel,$365.25,Petro-Canada
2024-12-20,Fuel,Fleet fuel - holiday events,$425.50,Shell Canada
2024-01-10,Utilities,Monthly electricity - facility and kitchen,$1820.00,Toronto Hydro
2024-02-10,Utilities,Monthly electricity,$1745.00,Toronto Hydro
2024-03-10,Utilities,Monthly electricity,$1680.50,Toronto Hydro
2024-04-10,Utilities,Monthly electricity,$1590.00,Toronto Hydro
2024-05-10,Utilities,Monthly electricity,$1710.00,Toronto Hydro
2024-06-10,Utilities,Monthly electricity - summer AC,$1920.00,Toronto Hydro
2024-07-10,Utilities,Monthly electricity - peak summer,$2100.00,Toronto Hydro
